ProbeID X Y Z hemi
10_378 145.951538 121.838531 100.678757 lh
10_379 144.864548 121.773529 100.740753 lh
10_380 143.755539 121.625534 100.591766 lh
10_381 144.095551 121.713531 100.822754 lh
10_382 149.324539 121.316536 100.953751 lh
10_383 148.54454 121.650536 101.057755 lh
10_384 147.818542 121.816536 101.112762 lh
10_385 147.060547 103.836533 100.749756 lh
10_386 146.433548 103.516533 100.605759 lh
10_387 145.506546 103.168533 100.329758 lh
10_388 144.49054 102.819534 100.103745 lh
10_389 147.316544 104.273529 100.482758 lh
10_390 147.549545 104.039536 101.13475 lh
10_391 143.40155 102.485535 100.097748 lh
10_392 142.410538 102.561531 100.035751 lh
10_393 141.392548 102.624535 100.132751 lh
10_394 140.489548 102.593529 100.37175 lh
10_395 139.682541 102.870529 100.387756 lh
10_396 147.805542 104.755531 100.601746 lh
10_397 138.87854 103.163536 100.443756 lh
10_398 138.334549 103.912529 100.13176 lh
10_399 138.061539 103.083534 100.814758 lh
10_400 137.403549 103.684532 100.669754 lh
10_401 135.170563 104.306534 101.328766 lh
10_402 134.538559 104.751534 101.416763 lh
10_403 148.009537 105.782532 99.889755 lh
10_404 148.310547 105.426529 100.896744 lh
10_405 133.888565 105.163536 101.602753 lh
10_406 148.779541 106.625534 100.359756 lh
10_407 133.952545 105.968529 101.067764 lh
10_408 133.353561 105.872536 101.606766 lh
10_409 149.512543 107.770531 100.429749 lh
10_410 134.15654 106.783531 100.447754 lh
10_411 149.956543 108.57653 100.747757 lh
10_412 133.477539 107.401535 100.642761 lh
10_413 150.439545 109.627533 100.388748 lh
10_414 133.278549 108.218529 100.399765 lh
10_415 133.019547 109.069527 100.252762 lh
10_416 132.729538 108.598526 100.816757 lh
10_417 150.618546 110.376534 100.676758 lh
10_418 132.497543 109.169525 100.854752 lh
10_419 150.677536 111.037529 100.979752 lh
10_420 132.299545 109.929527 100.833755 lh
10_421 132.20755 110.737526 100.726761 lh
10_422 132.196548 111.564522 100.566757 lh
10_423 150.64856 112.446533 101.489746 lh
10_424 132.55455 112.088524 99.715759 lh
10_425 150.851562 114.375534 101.476746 lh
10_426 132.595551 113.173523 99.592758 lh
10_427 150.198563 115.380531 102.37175 lh
10_428 132.732544 114.175522 99.517761 lh
10_429 150.421555 116.277534 102.170746 lh
10_430 149.953552 116.495529 102.713745 lh
10_431 132.946548 115.118523 99.568756 lh
10_432 133.181549 115.949532 99.83876 lh
10_433 150.23056 117.111534 102.387756 lh
10_434 133.801544 116.986534 99.357758 lh
10_435 134.803543 118.033531 98.760757 lh
10_436 150.054565 119.141533 102.223755 lh
10_437 136.627548 119.573532 99.199753 lh
10_438 135.93454 118.908531 98.653763 lh
10_439 150.093552 120.280533 101.584747 lh
10_440 142.777557 121.530533 101.599762 lh
10_441 141.963547 121.42453 101.065765 lh
10_442 140.993546 121.204529 100.703766 lh
10_443 139.981537 120.961533 100.391754 lh
10_444 138.926544 120.673531 100.083755 lh
